nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      8724,-7.758272463E-03, 1.075391871E-02, 0.000000000E+00, 8.353699530E-01, 7.448745628E-01, 3.776800948E-01, 0.000000000E+00
      8725,-4.215845326E-03, 1.075981638E-02, 0.000000000E+00, 5.837700958E-01, 5.454565357E-01, 2.078564720E-01, 0.000000000E+00
      8726,-3.039869522E-04, 1.076107353E-02, 0.000000000E+00, 2.621758011E-01, 2.615284969E-01, 1.813647032E-02, 0.000000000E+00
      8727,-1.448614546E-02, 1.076770010E-02, 0.000000000E+00, 8.481453220E-01, 8.228066359E-01, 2.039513305E-01, 0.000000000E+00
      8728, 2.375413821E-03, 1.076764588E-02, 0.000000000E+00, 2.398441112E-01, 2.378909711E-01,-3.029696248E-02, 0.000000000E+00
      8729, 8.898176494E-04, 1.077143795E-02, 0.000000000E+00, 2.401381730E-01, 2.400468013E-01,-5.781269716E-03, 0.000000000E+00
      8730, 1.658626764E-03, 1.078314519E-02, 0.000000000E+00, 2.395412831E-01, 2.387515791E-01,-1.909763879E-02, 0.000000000E+00
      8731, 5.624101563E-04, 1.078433454E-02, 0.000000000E+00, 2.447944645E-01, 2.447748484E-01,-1.418025255E-04, 0.000000000E+00
      8732, 2.028417301E-03, 1.080259343E-02, 0.000000000E+00, 2.442660190E-01, 2.429816070E-01,-2.465325349E-02, 0.000000000E+00
      8733, 5.767645306E-02, 1.080284797E-02, 0.000000000E+00, 6.906625966E-01, 6.902451578E-01,-2.399581263E-02, 0.000000000E+00
      8734, 1.571207345E-01, 1.081543838E-02, 0.000000000E+00, 8.438046638E-01, 8.437906205E-01,-4.833973660E-03, 0.000000000E+00
      8735, 4.203694920E-03, 1.081599655E-02, 0.000000000E+00, 2.847171385E-01, 2.789206191E-01,-5.694896913E-02, 0.000000000E+00
      8736, 8.297230445E-02, 1.082269880E-02, 0.000000000E+00, 7.525957102E-01, 7.524756405E-01,-1.338929773E-02, 0.000000000E+00
      8737, 1.526269920E-03, 1.082973758E-02, 0.000000000E+00, 2.512415306E-01, 2.507067402E-01,-1.612434606E-02, 0.000000000E+00
      8738, 1.601842338E-02, 1.084160123E-02, 0.000000000E+00, 4.403054455E-01, 4.315707268E-01,-8.665232756E-02, 0.000000000E+00
      8739, 2.625663894E-03, 1.085039323E-02, 0.000000000E+00, 2.677753548E-01, 2.655017447E-01,-3.455042667E-02, 0.000000000E+00
      8740, 6.765105708E-03, 1.085301797E-02, 0.000000000E+00, 3.211334920E-01, 3.113976913E-01,-7.803603888E-02, 0.000000000E+00
      8741,-2.766025745E-02, 1.086332451E-02, 0.000000000E+00, 9.310013918E-01, 9.301896129E-01, 3.848040959E-02, 0.000000000E+00
      8742,-8.615495396E-03, 1.086736368E-02, 0.000000000E+00, 8.624504229E-01, 7.749567950E-01, 3.777470889E-01, 0.000000000E+00
      8743, 2.217013127E-03, 1.087689332E-02, 0.000000000E+00, 2.694744847E-01, 2.679578820E-01,-2.815674811E-02, 0.000000000E+00
      8744,-1.884777949E-03, 1.088002014E-02, 0.000000000E+00, 3.811645151E-01, 3.735834022E-01, 7.552829899E-02, 0.000000000E+00
      8745,-2.600117162E-03, 1.088278505E-02, 0.000000000E+00, 4.443518995E-01, 4.298551066E-01, 1.123718752E-01, 0.000000000E+00
      8746,-2.090934695E-03, 1.089181898E-02, 0.000000000E+00, 3.980961696E-01, 3.888324045E-01, 8.522883422E-02, 0.000000000E+00
      8747, 5.090123056E-02, 1.089846672E-02, 0.000000000E+00, 6.671135832E-01, 6.664631281E-01,-2.939572550E-02, 0.000000000E+00
